length,entropy,mean,std,median,chi2_stat,chi2_p_value,unique_bytes,unique_ratio,max_freq,min_freq,freq_range,freq_std,mod_8,mod_16,is_mod_8,is_mod_16,first_byte,starts_with_0x30,is_der,autocorr_1,autocorr_2,autocorr_8,bit_entropy,nibble_chi2,rep_8,rep_16,algorithm
160,4.297871,149.925,69.3118,168.0,2256.0,0.0,29,0.1133,18,0,18,2.3469,0,0,1,1,170,0,0,-0.12014,0.002462,0.267838,0.909375,229.6,16,8,AES
176,6.797333,122.8011,71.5257,115.5,283.6364,0.105154,124,0.4844,4,0,4,0.8728,0,0,1,1,40,0,0,0.071138,0.03621,0.042391,0.998648,8.6364,0,0,AES
160,4.439683,89.45,74.9431,74.0,1968.0,0.0,31,0.1211,10,0,10,2.192,0,0,1,1,64,0,0,0.081961,-0.015939,-0.306043,0.932206,240.6,16,8,AES
160,4.439683,122.45,74.4791,136.0,1968.0,0.0,31,0.1211,10,0,10,2.192,0,0,1,1,164,0,0,-0.123636,0.014046,0.247931,0.978637,155.1,16,8,AES
208,6.986168,138.0913,71.0932,140.5,257.2308,0.449075,140,0.5469,4,0,4,0.9036,0,0,1,1,161,0,0,-0.077195,0.034717,-0.031061,0.994439,20.9231,0,0,AES
208,4.332723,152.0385,67.3068,156.0,2708.9231,0.0,29,0.1133,13,0,13,2.9322,0,0,1,1,134,0,0,-0.024794,-0.178864,-0.346651,0.95641,196.4615,22,11,AES
224,6.961716,128.3661,76.7432,124.0,290.2857,0.06364,139,0.543,5,0,5,0.9961,0,0,1,1,183,0,0,-0.000827,0.028346,-0.06663,0.997928,8.9286,0,0,AES
208,7.007944,133.101,77.0418,140.0,252.3077,0.535891,142,0.5547,4,0,4,0.8949,0,0,1,1,195,0,0,0.069897,-0.133857,-0.033944,0.998138,11.1538,0,0,AES
208,4.275859,131.9471,58.9071,148.5,3001.8462,0.0,31,0.1211,24,0,24,3.0866,0,0,1,1,156,0,0,0.056573,-0.182346,-0.279961,0.934688,147.0,22,11,AES
208,7.030324,117.5577,74.3906,112.5,257.2308,0.449075,146,0.5703,5,0,5,0.9036,0,0,1,1,47,0,0,-0.01011,0.07142,-0.049701,0.993703,21.1538,0,0,AES
208,4.342338,129.0913,72.4697,151.0,2706.4615,0.0,30,0.1172,13,0,13,2.9308,0,0,1,1,91,0,0,-0.011345,-0.081812,-0.58034,0.958725,195.2308,22,11,AES
224,7.037521,131.5223,74.3863,132.5,267.4286,0.28398,147,0.5742,5,0,5,0.9561,0,0,1,1,62,0,0,0.082151,-0.070643,0.040453,0.998705,24.2143,0,0,AES
208,4.381628,138.0673,73.5677,157.0,2649.8462,0.0,31,0.1211,12,0,12,2.9,0,0,1,1,124,0,0,-0.16661,-0.089614,0.040469,0.938429,155.9231,22,11,AES
208,4.391244,141.4135,74.8148,136.0,2647.3846,0.0,32,0.125,12,0,12,2.8987,0,0,1,1,124,0,0,0.103582,-0.493673,0.003774,0.949607,218.7692,22,11,AES
208,4.366791,130.0625,71.807,145.0,2676.9231,0.0,31,0.1211,13,0,13,2.9148,0,0,1,1,6,0,0,0.045031,0.214798,-0.135117,0.952884,233.8462,22,11,AES
224,7.088343,132.058,71.59,134.5,246.8571,0.631141,151,0.5898,4,0,4,0.9186,0,0,1,1,163,0,0,0.131081,-0.003184,0.045848,0.996183,14.5714,0,0,AES
208,6.991674,125.024,72.2984,127.5,264.6154,0.326365,142,0.5547,5,0,5,0.9164,0,0,1,1,92,0,0,-0.007037,-0.015821,0.016872,0.998323,11.0,0,0,AES
208,4.366791,120.7837,72.6308,115.0,2676.9231,0.0,31,0.1211,13,0,13,2.9148,0,0,1,1,59,0,0,-0.131612,0.325482,0.517229,0.944807,232.7692,22,11,AES
208,6.905136,129.1202,74.6261,129.5,296.6154,0.037518,135,0.5273,5,0,5,0.9703,0,0,1,1,20,0,0,-0.198541,0.111453,-0.032556,0.998181,16.6154,0,0,AES
258,7.212962,123.4612,72.3372,125.0,254.0,0.505905,168,0.6562,6,0,6,1.0,2,2,0,0,181,0,0,0.008839,-0.009145,0.175063,0.996343,21.1783,0,0,AES
258,7.214375,125.3566,72.0276,128.5,236.1395,0.795873,165,0.6445,4,0,4,0.9642,2,2,0,0,4,0,0,-0.034444,-0.019165,0.027903,0.995791,16.5891,0,0,AES
256,4.279504,152.0273,78.7051,167.5,3424.0,0.0,28,0.1094,16,0,16,3.6572,0,0,1,1,242,0,0,-0.284781,-0.106965,0.049985,0.983074,243.75,28,14,AES
272,7.246165,126.3456,73.0259,124.5,249.4118,0.586948,171,0.668,6,0,6,1.0174,0,0,1,1,142,0,0,0.090735,0.083945,0.012389,0.998893,10.4118,0,0,AES
258,7.257086,130.2287,72.837,132.0,216.2946,0.962404,168,0.6562,4,0,4,0.9228,2,2,0,0,222,0,0,-0.055361,-0.002552,0.142913,0.998297,8.3411,0,0,AES
256,4.316209,122.168,77.1615,103.0,3390.0,0.0,31,0.1211,16,0,16,3.639,0,0,1,1,7,0,0,0.153846,0.037487,0.149244,0.971604,199.0625,28,14,AES
258,7.208674,124.093,73.0879,126.0,238.124,0.768751,164,0.6406,4,0,4,0.9682,2,2,0,0,139,0,0,-0.062659,-0.039708,0.027876,0.997244,13.6124,0,0,AES
258,7.289994,128.845,76.0748,132.0,214.3101,0.969791,174,0.6797,4,0,4,0.9185,2,2,0,0,141,0,0,0.014222,0.004302,-0.047974,0.995632,13.4884,0,0,AES
258,7.191119,130.3953,72.3612,134.0,238.124,0.768751,161,0.6289,4,0,4,0.9682,2,2,0,0,204,0,0,0.100618,-0.009184,-0.002683,0.998205,9.2093,0,0,AES
258,7.156411,128.8178,74.4303,130.5,267.8915,0.277293,161,0.6289,5,0,5,1.027,2,2,0,0,205,0,0,0.059046,0.031207,0.037777,0.997607,22.1085,0,0,AES
258,7.201948,124.5581,74.4334,134.5,244.0775,0.677639,164,0.6406,4,0,4,0.9802,2,2,0,0,153,0,0,-0.072041,-0.021957,-0.118892,0.995379,18.3256,0,0,AES
272,7.245192,120.7978,71.4125,115.0,241.8824,0.712763,170,0.6641,4,0,4,1.002,0,0,1,1,119,0,0,-0.003209,-0.037325,-0.02225,0.997298,11.1176,0,0,AES
256,4.308397,144.1992,75.8707,170.0,3392.0,0.0,30,0.1172,16,0,16,3.6401,0,0,1,1,133,0,0,0.189527,-0.25242,-0.519674,0.968135,125.0,28,14,AES
258,7.2154,130.3915,75.4381,139.0,236.1395,0.795873,165,0.6445,4,0,4,0.9642,2,2,0,0,28,0,0,0.034436,0.049633,0.017525,0.997597,20.2481,0,0,AES
256,4.266236,132.4609,71.313,132.0,3452.0,0.0,28,0.1094,16,0,16,3.6721,0,0,1,1,217,0,0,0.210767,-0.007044,0.141729,0.938826,300.4375,28,14,AES
320,7.379031,133.0719,74.0995,141.0,233.6,0.827864,187,0.7305,6,0,6,1.068,0,0,1,1,21,0,0,0.034429,-0.041234,0.013876,0.996527,23.2,0,0,AES
308,7.263631,126.7338,73.6721,126.5,268.8312,0.263983,174,0.6797,5,0,5,1.124,4,4,0,0,159,0,0,-0.01383,0.043484,-0.022092,0.995227,18.7013,0,0,AES
320,7.341924,123.9188,70.7346,121.5,252.8,0.527168,184,0.7188,6,0,6,1.111,0,0,1,1,9,0,0,-0.079718,0.083305,0.031747,0.997517,20.35,0,0,AES
308,7.289772,130.4318,73.7461,133.0,275.4805,0.180615,181,0.707,5,0,5,1.1378,4,4,0,0,94,0,0,-0.015427,-0.016987,0.078301,0.996087,12.2597,0,0,AES
320,7.282691,129.3406,77.9452,136.0,284.8,0.096688,179,0.6992,6,0,6,1.1792,0,0,1,1,240,0,0,0.067631,-0.024805,-0.014515,0.998502,11.9,0,0,AES
308,7.3654,125.5649,74.1855,127.0,232.2597,0.843464,186,0.7266,6,0,6,1.0448,4,4,0,0,38,0,0,0.038039,-0.031724,-0.038814,0.998193,23.3766,0,0,AES
304,4.179051,117.0954,71.4423,103.5,4620.6316,0.0,31,0.1211,36,0,36,4.6296,0,0,1,1,115,0,0,0.348183,0.05916,0.216492,0.983646,292.6316,34,17,AES
304,4.259143,104.1283,62.5559,102.0,4110.3158,0.0,28,0.1094,19,0,19,4.3665,0,0,1,1,125,0,0,0.186706,-0.224637,-0.082976,0.943904,407.2632,34,17,AES
308,7.266081,123.9643,76.0814,125.5,260.5195,0.392758,172,0.6719,5,0,5,1.1065,4,4,0,0,81,0,0,-0.083024,-0.036079,0.028694,0.998912,18.5455,0,0,AES
308,7.262771,128.2532,77.9926,124.0,265.5065,0.312626,173,0.6758,5,0,5,1.1171,4,4,0,0,51,0,0,0.062464,-0.027984,-0.018445,0.997072,18.7013,0,0,AES
320,7.38764,125.2469,71.7224,117.0,227.2,0.89417,188,0.7344,5,0,5,1.0533,0,0,1,1,215,0,0,-0.041501,0.013892,-0.050729,0.999235,8.15,0,0,AES
320,7.350723,123.4875,73.5807,116.0,240.0,0.741516,184,0.7188,5,0,5,1.0825,0,0,1,1,242,0,0,-0.036032,-0.045159,0.008325,0.998717,16.2,0,0,AES
308,7.348905,128.461,75.3776,125.5,223.9481,0.920036,180,0.7031,5,0,5,1.0259,4,4,0,0,184,0,0,-0.039878,-0.020084,0.110804,0.998424,15.6364,0,0,AES
304,4.179051,134.0987,67.6407,129.5,4620.6316,0.0,31,0.1211,36,0,36,4.6296,0,0,1,1,128,0,0,-0.063954,-0.417462,-0.430068,0.980803,193.1579,34,17,AES
304,4.179051,139.4605,68.479,136.0,4620.6316,0.0,31,0.1211,36,0,36,4.6296,0,0,1,1,63,0,0,0.243632,-0.059411,0.059981,0.972064,92.5789,34,17,AES
352,4.130774,135.7159,76.7153,135.0,5463.2727,0.0,30,0.1172,42,0,42,5.417,0,0,1,1,142,0,0,0.487782,0.333044,-0.702169,0.97281,433.1364,40,20,AES
352,4.266765,130.7216,77.335,112.0,4791.2727,0.0,32,0.125,21,0,21,5.0729,0,0,1,1,55,0,0,-0.33614,-0.004128,0.083652,0.971225,159.8636,40,20,AES
368,7.434376,133.9918,71.1431,132.0,241.3913,0.720393,195,0.7617,5,0,5,1.1642,0,0,1,1,156,0,0,-0.05788,0.028621,0.094486,0.997017,14.3913,0,0,AES
368,7.344106,131.5625,71.123,134.0,287.3043,0.080251,186,0.7266,5,0,5,1.2702,0,0,1,1,152,0,0,0.068947,-0.105385,-0.050491,0.999318,25.2609,0,0,AES
358,7.421538,124.5112,75.0323,117.5,238.3799,0.765125,193,0.7539,6,0,6,1.1411,6,6,0,0,55,0,0,-0.029384,-0.007042,-0.035293,0.997152,8.7821,0,0,AES
358,7.345156,133.9246,70.9465,143.0,281.2849,0.123953,186,0.7266,6,0,6,1.2396,6,6,0,0,52,0,0,0.008915,-0.040311,0.124756,0.995985,15.8883,0,0,AES
358,7.367106,128.5279,73.9512,128.0,269.8436,0.25005,188,0.7344,7,0,7,1.2141,6,6,0,0,183,0,0,0.006161,0.006872,-0.010173,0.9978,18.3911,0,0,AES
352,4.233419,114.3636,69.556,108.0,4852.3636,0.0,30,0.1172,22,0,22,5.1051,0,0,1,1,129,0,0,-0.407072,0.026874,-0.122792,0.952503,267.8636,40,20,AES
358,7.410546,126.5838,73.3159,125.0,246.9609,0.62937,193,0.7539,5,0,5,1.1615,6,6,0,0,242,0,0,0.017001,0.031322,0.072552,0.999099,15.3073,0,0,AES
368,7.420736,128.5761,71.7851,132.0,253.913,0.507445,195,0.7617,6,0,6,1.1941,0,0,1,1,78,0,0,0.089971,-0.053075,-0.053178,0.998206,18.8261,0,0,AES
368,7.377056,125.269,73.9422,131.0,284.5217,0.098664,193,0.7539,6,0,6,1.264,0,0,1,1,53,0,0,0.057761,0.057039,-0.06041,0.997758,12.2609,0,0,AES
368,7.452555,125.6549,73.9956,125.0,238.6087,0.761859,199,0.7773,6,0,6,1.1575,0,0,1,1,149,0,0,-0.060142,-0.049563,0.040633,0.997315,12.3913,0,0,AES
352,4.233419,156.9148,67.2558,180.0,4852.3636,0.0,30,0.1172,22,0,22,5.1051,0,0,1,1,180,0,0,-0.009122,-0.058955,-0.556253,0.965239,316.7727,40,20,AES
358,7.393326,121.7151,73.5998,115.5,252.6816,0.529267,191,0.7461,5,0,5,1.1749,6,6,0,0,152,0,0,0.018984,-0.085784,-0.084066,0.998358,17.095,0,0,AES
368,7.44202,128.2011,73.212,129.0,249.7391,0.581214,199,0.7773,7,0,7,1.1842,0,0,1,1,129,0,0,0.077424,-0.023596,-0.018778,0.99779,12.5217,0,0,AES
432,7.527585,127.9977,73.1885,133.0,240.0,0.741516,208,0.8125,7,0,7,1.2578,0,0,1,1,47,0,0,-0.013774,0.055215,0.120904,0.998265,12.5556,0,0,AES
416,4.205794,151.0865,64.5501,171.0,5809.2308,0.0,30,0.1172,26,0,26,6.0725,0,0,1,1,140,0,0,0.480719,0.128279,-0.241877,0.947517,338.1154,48,24,AES
432,7.437611,123.5069,75.0347,120.0,280.2963,0.132555,197,0.7695,6,0,6,1.3593,0,0,1,1,239,0,0,-0.004246,-0.051094,0.004908,0.998276,22.7407,0,0,AES
408,7.453739,125.1201,72.9853,124.0,264.6275,0.326177,201,0.7852,6,0,6,1.2835,0,8,1,0,224,0,0,0.005323,-0.083524,0.049991,0.999452,11.5294,0,0,AES
408,7.521899,130.4387,72.2614,131.5,219.451,0.947812,204,0.7969,6,0,6,1.1689,0,8,1,0,163,0,0,0.006444,0.016093,0.09779,0.998042,12.4314,0,0,AES
432,7.405488,122.5324,77.0052,120.0,307.5556,0.013442,196,0.7656,7,0,7,1.4238,0,0,1,1,3,0,0,0.048095,-0.000214,0.008251,0.999192,11.4444,0,0,AES
408,7.520887,129.75,74.0345,130.0,239.5294,0.748487,211,0.8242,6,0,6,1.2212,0,8,1,0,253,0,0,0.035809,-0.038951,0.033866,0.999304,12.8627,0,0,AES
432,7.52721,125.3241,73.9209,127.5,238.8148,0.758897,209,0.8164,6,0,6,1.2547,0,0,1,1,38,0,0,-0.016707,0.010143,0.065632,0.997854,21.963,0,0,AES
416,4.085602,151.5288,82.9335,176.5,6578.4615,0.0,29,0.1133,50,0,50,6.462,0,0,1,1,165,0,0,-0.483966,0.49337,-0.221058,0.978064,422.8462,48,24,AES
432,7.554958,131.3681,72.1335,135.0,228.1481,0.885653,214,0.8359,6,0,6,1.2263,0,0,1,1,92,0,0,0.085266,0.013608,-0.101582,0.999055,12.5926,0,0,AES
416,4.215686,124.976,72.033,150.0,5779.6923,0.0,30,0.1172,26,0,26,6.057,0,0,1,1,57,0,0,0.283476,-0.154339,-0.512423,0.994825,287.3846,48,24,AES
416,4.235193,130.2957,75.6927,133.5,5747.6923,0.0,32,0.125,25,0,25,6.0402,0,0,1,1,221,0,0,-0.086049,-0.194381,-0.655571,0.9891,222.5769,48,24,AES
416,4.230386,132.4567,76.5277,147.0,5748.9231,0.0,31,0.1211,25,0,25,6.0409,0,0,1,1,226,0,0,0.264186,-0.037663,-0.17682,0.953069,235.3077,48,24,AES
408,7.47794,127.6863,73.9016,127.5,255.8431,0.473366,204,0.7969,6,0,6,1.2621,0,8,1,0,106,0,0,-0.021038,0.013034,0.027329,0.9982,14.0,0,0,AES
416,4.100301,108.8534,60.4414,112.0,6547.6923,0.0,30,0.1172,50,0,50,6.4469,0,0,1,1,19,0,0,-0.308629,-0.0018,-0.083267,0.936483,563.2692,48,24,AES
480,7.521208,121.8167,75.6943,118.5,275.2,0.183735,211,0.8242,7,0,7,1.4197,0,0,1,1,154,0,0,-0.009952,-0.036255,-0.031975,0.997343,12.9667,0,0,AES
458,7.613104,127.3996,75.6612,129.0,222.8035,0.927949,225,0.8789,6,0,6,1.2478,2,10,0,0,182,0,0,-0.007422,0.065999,-0.033583,0.999505,10.0786,0,0,AES
458,7.526282,128.3231,73.3654,130.0,258.5764,0.425782,211,0.8242,7,0,7,1.3443,2,10,0,0,131,0,0,0.038185,0.014407,0.053639,0.998334,7.3188,0,0,AES
464,4.095707,124.1918,63.4608,129.0,7330.7586,0.0,31,0.1211,56,0,56,7.2043,0,0,1,1,53,0,0,-0.029322,0.144875,-0.006989,0.980191,236.9655,54,27,AES
464,4.06855,126.5905,71.5728,148.0,7393.6552,0.0,29,0.1133,56,0,56,7.2352,0,0,1,1,32,0,0,0.2106,-0.027822,0.091502,0.976278,249.6207,54,27,AES
480,7.599992,126.1021,73.0635,126.0,225.0667,0.911713,220,0.8594,5,0,5,1.2839,0,0,1,1,254,0,0,0.050319,-0.034024,0.074162,0.999065,11.4,0,0,AES
464,4.175823,111.6164,80.0729,118.0,6558.3448,0.0,29,0.1133,29,0,29,6.8142,0,0,1,1,118,0,0,-0.329579,-0.15715,-0.005897,0.971357,710.8621,54,27,AES
480,7.546054,125.275,73.4774,121.5,266.6667,0.295168,216,0.8438,7,0,7,1.3975,0,0,1,1,150,0,0,0.078681,-0.036071,0.025773,0.998764,20.7333,0,0,AES
480,7.590105,130.4292,72.9148,130.0,226.1333,0.903219,218,0.8516,6,0,6,1.287,0,0,1,1,222,0,0,-0.018503,0.030526,-0.033709,0.998486,12.2,0,0,AES
458,7.531839,127.2009,72.3815,130.0,261.9301,0.369343,213,0.832,8,0,8,1.353,2,10,0,0,119,0,0,-0.04525,0.016807,0.015666,0.997733,14.4454,0,0,AES
458,7.556032,130.2817,73.2147,132.5,235.1004,0.809341,213,0.832,6,0,6,1.2818,2,10,0,0,104,0,0,-0.050663,0.000848,0.029045,0.998709,13.2227,0,0,AES
458,7.556139,129.9017,73.6074,130.0,252.9869,0.523855,217,0.8477,7,0,7,1.3297,2,10,0,0,135,0,0,0.085966,0.016069,0.015647,0.999045,15.2489,0,0,AES
480,7.585595,125.2521,74.2566,116.5,230.4,0.863609,217,0.8477,6,0,6,1.299,0,0,1,1,20,0,0,-0.079298,0.00047,-0.052308,0.997712,18.2333,0,0,AES
464,4.028083,135.2953,76.1114,158.0,7485.2414,0.0,26,0.1016,56,0,56,7.2798,0,0,1,1,180,0,0,0.035575,0.017191,0.624322,0.94764,652.3103,54,27,AES
480,7.542069,126.0292,73.7666,129.0,272.0,0.221829,215,0.8398,8,0,8,1.4114,0,0,1,1,166,0,0,0.036901,0.057149,0.000693,0.999045,15.4333,0,0,AES
508,7.597469,128.2362,72.5612,126.5,258.9921,0.41865,225,0.8789,7,0,7,1.4169,4,12,0,0,152,0,0,-0.0501,-0.059469,-0.003271,0.997808,7.4016,0,0,AES
512,4.188083,104.877,68.1585,85.0,7215.0,0.0,31,0.1211,32,0,32,7.5078,0,0,1,1,206,0,0,-0.02393,0.067214,0.439668,0.976438,626.0625,60,30,AES
528,7.615835,121.5587,71.3303,115.0,235.1515,0.808691,222,0.8672,6,0,6,1.3764,0,0,1,1,141,0,0,0.032891,-0.015036,0.034729,0.998201,11.8485,0,0,AES
508,7.557083,133.1004,73.5037,134.5,277.1339,0.162947,218,0.8516,8,0,8,1.4657,4,12,0,0,221,0,0,0.03855,0.00222,-0.032986,0.997884,16.0945,0,0,AES
512,4.200622,136.9531,57.9994,133.0,7184.0,0.0,32,0.125,31,0,31,7.4917,0,0,1,1,120,0,0,-0.031773,0.010609,-0.324984,0.982829,446.9375,60,30,AES
528,7.596223,127.1269,73.2517,122.5,263.2727,0.347573,223,0.8711,7,0,7,1.4564,0,0,1,1,163,0,0,0.034766,-0.021437,0.0194,0.998396,10.3636,0,0,AES
508,7.60347,133.4587,73.6085,138.5,239.8425,0.743859,222,0.8672,6,0,6,1.3635,4,12,0,0,233,0,0,0.01175,-0.012434,0.039722,0.998744,17.8268,0,0,AES
512,3.945896,119.7109,76.193,127.0,9137.0,0.0,29,0.1133,62,0,62,8.4488,0,0,1,1,123,0,0,0.460632,0.10373,0.134463,0.966545,670.0,60,30,AES
528,7.616824,128.0265,75.4907,126.0,261.3333,0.379185,229,0.8945,7,0,7,1.451,0,0,1,1,111,0,0,-0.002538,0.000394,-0.043081,0.998792,12.7879,0,0,AES
512,4.175545,103.5195,76.1197,109.0,7246.0,0.0,30,0.1172,32,0,32,7.5239,0,0,1,1,22,0,0,0.078377,-0.444081,-0.322949,0.967202,306.7812,60,30,AES
508,7.59282,127.6142,74.9121,130.5,258.9921,0.41865,223,0.8711,8,0,8,1.4169,4,12,0,0,220,0,0,0.019064,-0.026989,-0.009789,0.998922,12.378,0,0,AES
512,4.06699,123.7227,67.6729,126.0,8176.0,0.0,30,0.1172,62,0,62,7.9922,0,0,1,1,243,0,0,-0.319306,0.210915,-0.491661,0.947918,670.8438,60,30,AES
512,4.200622,109.248,78.5293,122.0,7184.0,0.0,32,0.125,31,0,31,7.4917,0,0,1,1,2,0,0,0.393746,-0.414735,-0.658251,0.957065,391.125,60,30,AES
508,7.611311,127.7283,73.2296,126.5,230.7717,0.859724,221,0.8633,6,0,6,1.3375,4,12,0,0,233,0,0,-0.090154,0.020123,-0.055401,0.998308,11.811,0,0,AES
508,7.584108,129.6496,74.0774,128.0,276.126,0.173571,225,0.8789,9,0,9,1.463,4,12,0,0,174,0,0,0.02625,0.081468,-0.065465,0.999386,11.6535,0,0,AES
560,3.944319,134.5714,79.6611,132.0,10016.4571,0.0,30,0.1172,68,0,68,9.2515,0,0,1,1,128,0,0,0.071588,-0.393796,0.355546,0.943931,528.8,66,33,AES
558,7.547276,121.4283,74.4651,117.5,315.5197,0.005833,218,0.8516,8,0,8,1.639,6,14,0,0,74,0,0,-0.063497,-0.075154,-0.023766,0.996983,20.6022,0,0,AES
558,7.641044,125.6219,73.3245,120.0,235.6918,0.80174,225,0.8789,7,0,7,1.4166,6,14,0,0,238,0,0,-0.062707,-0.080716,0.0621,0.998484,13.5197,0,0,AES
576,7.667977,126.2917,71.0912,126.0,251.5556,0.549206,236,0.9219,8,0,8,1.4869,0,0,1,1,153,0,0,-0.009766,-0.053328,-0.045246,0.99835,15.8333,0,0,AES
558,7.644495,129.9677,74.0338,127.0,236.6093,0.789616,227,0.8867,7,0,7,1.4194,6,14,0,0,59,0,0,-0.011194,0.054692,-0.057486,0.998792,19.2545,0,0,AES
558,7.610706,125.8728,73.3156,131.0,265.0538,0.319571,224,0.875,8,0,8,1.5023,6,14,0,0,48,1,0,0.021518,-0.029019,0.033327,0.999426,12.8889,0,0,AES
576,7.620431,126.4149,75.8948,125.5,270.2222,0.24495,229,0.8945,7,0,7,1.5411,0,0,1,1,23,0,0,0.002259,-0.028729,0.007088,0.998519,17.6667,0,0,AES
576,7.657645,129.9462,72.7252,130.0,247.1111,0.626801,232,0.9062,7,0,7,1.4737,0,0,1,1,13,0,0,-0.02758,-0.00901,0.092357,0.998393,18.1667,0,0,AES
